债券代码,交易日期,spread
78031,201107,1.121661897
78031,201108,0.960623005
78031,201109,1.195931933
78031,201110,1.345868083
78031,201111,1.568177065
78031,201112,1.811549839
78031,201201,1.828911912
78031,201202,1.718729883
78031,201204,1.794444334
78031,201205,2.064168893
78031,201206,1.969064242
78031,201207,2.032298974
78031,201208,1.777568274
78031,201209,1.698947147
78031,201210,1.653979174
78031,201211,1.631022842
78031,201212,1.670071203
78031,201301,1.590738781
78031,201302,1.544667696
78031,201303,1.55352159
78031,201304,1.701532629
78031,201305,1.667930517
78031,201306,1.519664054
78031,201307,1.189138301
78031,201308,0.905552105
78031,201309,0.946108792
78031,201310,0.724835921
78031,201311,0.466370507
78031,201312,0.284318863
78031,201401,0.593171045
78031,201402,0.876402506
78031,201403,0.776579241
78031,201404,0.719436823
78031,201405,0.837564695
78031,201406,1.394525575
78031,201407,1.249103137
78031,201408,1.217740832
78031,201409,1.315311355
78031,201410,1.663741529
78031,201411,1.842530648
78031,201412,1.744484448
78031,201501,1.8970734
78031,201502,1.971708428
78031,201503,1.797980732
78031,201504,2.079324364
78031,201505,2.574045884
78031,201506,2.719302765
78031,201507,2.511033849
78031,201508,2.502140866
78031,201509,2.432077658
78031,201510,2.55288976
78031,201511,2.368133284
78031,201512,2.658561707
78031,201601,2.62495845
78031,201602,2.654761702
78031,201603,2.869963075
78031,201604,2.638630909
78031,201605,2.621219867
78031,201606,2.552791082
78031,201607,2.677618022
78031,201608,2.74165095
78031,201609,2.663455002
78031,201610,2.634576248
78031,201611,2.377005439
78031,201612,1.938923668
78031,201701,1.925338262
78031,201702,1.709308
78031,201703,1.212305274
78031,201704,0.957661982
78037,200807,0.892551968
78037,200808,1.139598543
78037,200809,1.659322483
78037,200810,2.290931401
78037,200811,2.192902041
78037,200812,1.038793706
78037,200901,0.804297043
78037,200902,0.645700758
78037,200903,0.944851902
78037,200904,0.957958045
78037,200905,1.016702324
78037,200906,0.839182619
78037,200907,0.662852465
78037,200908,0.704843216
78037,200909,0.665906495
78037,200910,0.578560651
78037,200911,0.622536302
78037,200912,0.585310853
78037,201001,0.675012976
78037,201002,0.825864357
78037,201003,0.77331036
78037,201004,0.847135504
78037,201005,0.974507646
78037,201006,0.930733059
78037,201007,0.964758874
78037,201008,1.024818693
78037,201009,0.921213474
78037,201010,0.622091688
78037,201011,0.360845345
78037,201012,0.429489253
78037,201101,0.287621325
78037,201102,0.395717072
78037,201103,0.414119236
78037,201104,0.443083982
78037,201105,0.500979522
78037,201106,0.435033748
78037,201107,0.280352935
78037,201108,0.221089478
78037,201109,0.451390718
78037,201110,0.547515976
78037,201111,0.692347667
78037,201112,0.875908117
78037,201201,0.884837629
78037,201202,0.753798978
78037,201203,0.782962999
